match_id,team,opponent,xg,possession,shots_on_target,shots_total,passes_completed,pass_accuracy,ppda,tackles_successful,interceptions,clearances,fouls_committed,yellow_cards,corners,crosses_completed,aerial_duels_won_pct,errors_leading_to_shot,outcome
26,Morocco,Belgium,1.5,33.0,4.0,10.0,287.0,81.77,19.42,22.0,9.0,24.0,14.0,0,1.0,8.0,42.31,0,Win
27,Croatia,Canada,2.6,49.0,10.0,13.0,402.0,80.72,12.43,25.0,10.0,19.0,13.0,0,5.0,21.0,31.58,0,Win
27,Canada,Croatia,0.4,51.0,2.0,8.0,435.0,82.39,19.14,15.0,6.0,29.0,5.0,0,2.0,16.0,68.42,0,Loss
28,Spain,Germany,0.6,64.0,3.0,7.0,569.0,84.93,11.48,17.0,8.0,13.0,13.0,0,6.0,6.0,60.0,0,Draw
28,Germany,Spain,1.3,36.0,4.0,11.0,287.0,75.33,13.55,29.0,13.0,12.0,11.0,0,5.0,11.0,40.0,0,Draw
29,Cameroon,Serbia,2.2,41.0,8.0,13.0,271.0,69.49,16.19,8.0,19.0,22.0,8.0,0,4.0,19.0,53.57,0,Draw
29,Serbia,Cameroon,1.9,59.0,5.0,15.0,437.0,78.6,12.9,16.0,5.0,18.0,13.0,0,3.0,21.0,46.43,0,Draw
30,Korea Republic,Ghana,1.8,63.0,6.0,22.0,494.0,82.2,15.88,15.0,2.0,19.0,13.0,0,12.0,46.0,55.0,0,Loss
30,Ghana,Korea Republic,1.6,37.0,3.0,7.0,270.0,76.92,21.48,17.0,6.0,50.0,9.0,0,5.0,15.0,45.0,0,Win
31,Brazil,Switzerland,1.0,54.0,5.0,13.0,511.0,84.6,13.65,21.0,10.0,9.0,10.0,0,8.0,25.0,61.54,0,Win
31,Switzerland,Brazil,0.3,46.0,0.0,6.0,423.0,81.82,23.23,18.0,4.0,26.0,17.0,0,3.0,9.0,38.46,0,Loss
32,Portugal,Uruguay,1.3,59.0,2.0,14.0,525.0,81.65,18.53,10.0,7.0,17.0,10.0,0,6.0,15.0,68.18,0,Win
32,Uruguay,Portugal,1.3,41.0,3.0,11.0,315.0,71.92,21.88,12.0,12.0,12.0,16.0,0,2.0,17.0,31.82,0,Loss
33,Ecuador,Senegal,0.9,61.0,4.0,9.0,365.0,75.73,9.23,15.0,7.0,19.0,23.0,0,3.0,21.0,55.26,0,Loss
33,Senegal,Ecuador,2.1,39.0,2.0,13.0,203.0,65.06,18.25,10.0,10.0,29.0,11.0,0,6.0,21.0,44.74,0,Win
34,Netherlands,Qatar,1.6,63.0,4.0,13.0,739.0,90.79,14.0,16.0,10.0,11.0,19.0,0,4.0,6.0,58.82,0,Win
34,Qatar,Netherlands,0.1,37.0,3.0,5.0,364.0,80.71,35.19,9.0,12.0,9.0,9.0,0,2.0,14.0,41.18,0,Loss
35,Wales,England,0.3,36.0,1.0,7.0,272.0,77.27,28.68,12.0,7.0,17.0,16.0,0,1.0,2.0,42.86,0,Loss
35,England,Wales,2.4,64.0,7.0,18.0,545.0,87.06,24.73,6.0,5.0,7.0,9.0,0,6.0,14.0,57.14,0,Win
36,IR Iran,United States,0.4,49.0,0.0,4.0,385.0,75.79,12.26,22.0,12.0,18.0,14.0,0,1.0,16.0,50.0,0,Loss
36,United States,IR Iran,1.2,51.0,5.0,12.0,417.0,79.58,22.65,12.0,5.0,21.0,10.0,0,5.0,20.0,50.0,0,Win
37,Australia,Denmark,0.6,32.0,4.0,8.0,215.0,61.78,21.48,15.0,12.0,33.0,11.0,0,2.0,11.0,60.47,0,Win
37,Denmark,Australia,0.6,68.0,3.0,13.0,580.0,80.22,11.94,11.0,7.0,19.0,10.0,0,6.0,26.0,39.53,0,Loss
38,Tunisia,France,0.5,35.0,3.0,5.0,272.0,73.91,18.48,22.0,9.0,23.0,14.0,0,7.0,23.0,40.91,0,Win
38,France,Tunisia,0.8,65.0,3.0,10.0,573.0,84.76,5.44,37.0,13.0,21.0,6.0,0,8.0,19.0,59.09,0,Loss
39,Saudi Arabia,Mexico,1.1,40.0,2.0,10.0,192.0,58.36,15.52,15.0,8.0,28.0,20.0,0,1.0,9.0,50.0,0,Loss
39,Mexico,Saudi Arabia,2.3,60.0,10.0,26.0,357.0,72.27,8.35,16.0,7.0,12.0,18.0,0,8.0,31.0,50.0,0,Win
40,Poland,Argentina,0.3,27.0,0.0,4.0,264.0,77.42,34.46,17.0,7.0,29.0,6.0,0,1.0,5.0,36.84,0,Loss
40,Argentina,Poland,3.5,73.0,10.0,22.0,827.0,90.78,14.67,13.0,5.0,9.0,11.0,0,9.0,18.0,63.16,0,Win
41,Canada,Morocco,1.4,58.0,0.0,5.0,480.0,83.77,15.45,13.0,7.0,8.0,14.0,0,6.0,19.0,58.82,0,Loss
41,Morocco,Canada,0.5,42.0,2.0,6.0,309.0,76.49,13.71,23.0,12.0,22.0,14.0,0,2.0,8.0,41.18,0,Win
42,Croatia,Belgium,0.7,49.0,4.0,11.0,508.0,82.47,36.33,9.0,6.0,24.0,7.0,0,2.0,21.0,50.0,0,Draw
42,Belgium,Croatia,3.0,51.0,3.0,16.0,545.0,85.42,24.19,14.0,7.0,25.0,9.0,0,4.0,24.0,50.0,0,Draw
43,Japan,Spain,1.4,18.0,3.0,6.0,165.0,67.35,35.54,11.0,17.0,26.0,9.0,0,0.0,2.0,52.63,0,Win
43,Spain,Japan,1.0,82.0,5.0,12.0,995.0,89.96,11.79,11.0,3.0,5.0,6.0,0,2.0,22.0,47.37,0,Loss
44,Costa Rica,Germany,1.3,32.0,6.0,8.0,274.0,73.66,23.17,21.0,8.0,45.0,3.0,0,1.0,11.0,57.14,0,Loss
44,Germany,Costa Rica,5.7,68.0,11.0,32.0,672.0,86.93,18.27,10.0,5.0,8.0,9.0,0,14.0,32.0,42.86,0,Win
45,Ghana,Uruguay,1.6,51.0,3.0,9.0,374.0,76.02,12.17,23.0,7.0,17.0,18.0,0,5.0,23.0,34.38,0,Loss
45,Uruguay,Ghana,1.8,49.0,6.0,12.0,365.0,76.84,11.33,23.0,10.0,22.0,11.0,0,2.0,11.0,65.62,0,Win
46,Korea Republic,Portugal,1.7,39.0,6.0,13.0,301.0,76.98,28.0,11.0,8.0,20.0,9.0,0,5.0,13.0,65.38,0,Win
46,Portugal,Korea Republic,1.3,61.0,6.0,13.0,532.0,85.39,16.72,12.0,6.0,12.0,10.0,0,4.0,18.0,34.62,0,Loss
47,Serbia,Switzerland,1.3,54.0,4.0,12.0,400.0,77.07,18.05,13.0,6.0,9.0,18.0,0,2.0,22.0,55.88,0,Loss
47,Switzerland,Serbia,2.7,46.0,7.0,14.0,343.0,76.05,18.18,10.0,12.0,18.0,14.0,0,0.0,8.0,44.12,0,Win
48,Cameroon,Brazil,0.5,35.0,3.0,7.0,247.0,76.0,15.84,22.0,10.0,32.0,14.0,0,3.0,11.0,62.5,0,Win
48,Brazil,Cameroon,2.5,65.0,7.0,21.0,507.0,85.35,11.23,19.0,3.0,12.0,14.0,0,11.0,27.0,37.5,0,Loss
49,Netherlands,United States,1.7,42.0,6.0,11.0,332.0,75.11,14.62,22.0,12.0,30.0,10.0,0,4.0,8.0,52.17,0,Win
49,United States,Netherlands,1.5,58.0,6.0,17.0,497.0,79.78,13.28,14.0,11.0,12.0,5.0,0,5.0,27.0,47.83,0,Loss
50,Argentina,Australia,1.6,60.0,5.0,14.0,635.0,87.11,17.45,15.0,7.0,20.0,8.0,0,1.0,5.0,48.15,0,Win
50,Australia,Argentina,0.6,40.0,1.0,5.0,384.0,80.5,33.42,11.0,8.0,10.0,15.0,0,3.0,16.0,51.85,0,Loss
51,France,Poland,1.4,55.0,8.0,16.0,501.0,83.36,20.05,11.0,9.0,10.0,10.0,0,7.0,25.0,52.17,0,Win
51,Poland,France,1.7,45.0,1.0,11.0,401.0,81.84,21.78,17.0,6.0,23.0,8.0,0,1.0,16.0,47.83,0,Loss
52,England,Senegal,1.0,61.0,4.0,8.0,532.0,84.85,10.5,21.0,9.0,10.0,16.0,0,3.0,15.0,33.33,0,Win
52,Senegal,England,0.8,39.0,1.0,10.0,315.0,78.75,31.29,11.0,6.0,17.0,12.0,0,3.0,13.0,66.67,0,Loss
53,Japan,Croatia,1.2,42.0,4.0,13.0,427.0,72.62,32.5,13.0,7.0,30.0,13.0,0,8.0,28.0,43.1,0,Draw
53,Croatia,Japan,1.4,58.0,4.0,17.0,650.0,81.15,22.47,14.0,5.0,32.0,16.0,0,5.0,35.0,56.9,0,Draw
54,Brazil,Korea Republic,3.6,53.0,8.0,17.0,560.0,87.64,17.56,15.0,12.0,10.0,8.0,0,5.0,13.0,36.84,0,Win
54,Korea Republic,Brazil,0.5,47.0,6.0,8.0,474.0,84.19,17.5,21.0,11.0,11.0,13.0,0,4.0,14.0,63.16,0,Loss
55,Morocco,Spain,0.7,24.0,2.0,6.0,241.0,68.47,28.5,26.0,8.0,41.0,15.0,0,0.0,11.0,41.67,0,Draw
55,Spain,Morocco,1.0,76.0,1.0,13.0,969.0,89.06,16.07,11.0,4.0,15.0,14.0,0,8.0,26.0,58.33,0,Draw
56,Portugal,Switzerland,2.3,47.0,9.0,15.0,395.0,81.44,18.42,16.0,8.0,11.0,12.0,0,6.0,14.0,47.62,0,Win
56,Switzerland,Portugal,1.2,53.0,2.0,10.0,442.0,82.31,39.5,5.0,5.0,14.0,10.0,0,6.0,15.0,52.38,0,Loss
57,Croatia,Brazil,0.6,50.0,1.0,9.0,636.0,85.83,17.24,28.0,9.0,32.0,22.0,0,3.0,24.0,54.17,0,Draw
