match,tournament,score,home_team,away_team,home_xg,away_xg,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_completed_passes,away_completed_passes,home_attempted_pases,away_attempted_pases,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_aerials_won,away_aerials_won
Spain vs Poland,Euro 2020,1-1,Spain,Poland,2.61,0.55,75.7,24.3,6,3,12,5,658,146,754,242,30,48,11,20,10,10,10,10,5,5,10,10,0,0
Austria vs North Macedonia,Euro 2020,3-1,Austria,North Macedonia,1.44,0.84,63.3,36.7,6,2,10,7,500,268,605,351,42,43,11,13,10,10,10,10,5,5,10,10,1,1
Turkey vs Italy,Euro 2020,0-3,Turkey,Italy,0.15,1.59,36.8,63.2,0,8,3,24,307,577,390,669,27,24,29,18,10,10,10,10,5,5,10,10,0,0
Czech Republic vs Denmark,Euro 2020,1-2,Czech Republic,Denmark,1.16,1.21,56.1,43.9,5,7,16,11,393,307,508,398,41,36,13,21,10,10,10,10,5,5,10,10,2,2
North Macedonia vs Netherlands,Euro 2020,0-3,North Macedonia,Netherlands,0.74,3.22,41.5,58.5,2,8,13,17,360,527,439,619,24,28,24,15,10,10,10,10,5,5,10,10,0,0
England vs Germany,Euro 2020,2-0,England,Germany,1.16,1.06,46.0,54.0,4,3,5,9,395,470,476,558,31,37,10,6,10,10,10,10,5,5,10,10,1,1
Germany vs Hungary,Euro 2020,2-2,Germany,Hungary,2.1,0.74,75.4,24.6,7,4,18,9,698,185,783,255,28,36,18,15,10,10,10,10,5,5,10,10,1,1
Croatia vs Scotland,Euro 2020,3-1,Croatia,Scotland,0.78,1.11,65.5,34.5,7,3,11,11,594,264,671,353,24,31,12,17,10,10,10,10,5,5,10,10,1,1
Czech Republic vs England,Euro 2020,0-1,Czech Republic,England,0.39,0.64,43.7,56.3,1,2,7,6,334,462,430,554,32,21,19,24,10,10,10,10,5,5,10,10,1,1
Finland vs Belgium,Euro 2020,0-2,Finland,Belgium,0.24,1.14,39.2,60.8,1,8,7,17,379,639,460,714,37,28,9,11,10,10,10,10,5,5,10,10,0,0
Ukraine vs Austria,Euro 2020,0-1,Ukraine,Austria,0.41,1.49,49.6,50.4,1,4,5,18,402,402,499,507,25,25,20,9,10,10,10,10,5,5,10,10,0,0
Finland vs Russia,Euro 2020,0-1,Finland,Russia,0.97,1.26,40.8,59.2,1,3,11,14,344,511,423,615,49,37,19,7,10,10,10,10,5,5,10,10,1,1
England vs Scotland,Euro 2020,0-0,England,Scotland,0.85,0.74,60.2,39.8,2,1,9,11,513,309,580,383,35,37,4,19,10,10,10,10,5,5,10,10,0,0
Denmark vs Belgium,Euro 2020,1-2,Denmark,Belgium,1.62,1.05,46.3,53.7,6,4,21,6,437,517,519,602,33,29,25,11,10,10,10,10,5,5,10,10,0,0
England vs Croatia,Euro 2020,1-0,England,Croatia,0.71,0.34,49.3,50.7,3,1,8,8,391,405,470,483,21,21,22,15,10,10,10,10,5,5,10,10,0,0
England vs Denmark,Euro 2020,2-1,England,Denmark,3.05,0.38,58.5,41.5,10,3,21,6,680,448,784,557,32,50,17,11,10,10,10,10,5,5,10,10,0,0
Netherlands vs Ukraine,Euro 2020,3-2,Netherlands,Ukraine,1.43,0.59,61.1,38.9,7,5,15,7,626,367,705,449,21,34,7,15,10,10,10,10,5,5,10,10,0,0
France vs Switzerland,Euro 2020,3-3,France,Switzerland,6.56,5.77,54.4,45.6,14,10,31,18,582,476,678,568,41,46,9,27,10,10,10,10,5,5,10,10,1,1
Netherlands vs Austria,Euro 2020,2-0,Netherlands,Austria,3.34,0.4,48.0,52.0,3,1,14,9,405,448,500,542,31,31,7,13,10,10,10,10,5,5,10,10,1,1
Poland vs Slovakia,Euro 2020,1-2,Poland,Slovakia,1.39,0.35,57.7,42.3,4,2,18,11,491,359,590,432,29,32,10,23,10,10,10,10,5,5,10,10,0,0
Spain vs Sweden,Euro 2020,0-0,Spain,Sweden,1.93,0.82,84.5,15.5,5,0,17,4,841,94,946,173,23,25,3,34,10,10,10,10,5,5,10,10,1,1
Scotland vs Czech Republic,Euro 2020,0-2,Scotland,Czech Republic,1.73,0.81,56.6,43.4,5,7,19,10,386,270,503,386,45,55,23,28,10,10,10,10,5,5,10,10,0,0
France vs Germany,Euro 2020,1-0,France,Germany,0.45,0.83,38.7,61.3,2,1,4,10,375,644,463,733,33,29,22,13,10,10,10,10,5,5,10,10,0,0
Hungary vs Portugal,Euro 2020,0-3,Hungary,Portugal,0.2,2.68,31.2,68.8,3,7,5,11,242,627,324,713,34,43,19,14,10,10,10,10,5,5,10,10,1,1
Denmark vs Finland,Euro 2020,0-1,Denmark,Finland,1.95,0.29,68.8,31.2,6,1,22,1,567,205,678,307,27,46,11,16,10,10,10,10,5,5,10,10,0,0
Slovakia vs Spain,Euro 2020,0-5,Slovakia,Spain,0.09,3.22,34.4,65.6,0,10,3,19,293,631,368,702,28,18,14,10,10,10,10,10,5,5,10,10,0,0
Sweden vs Poland,Euro 2020,3-2,Sweden,Poland,1.04,1.66,33.3,66.7,4,8,11,18,163,425,278,557,48,48,8,9,10,10,10,10,5,5,10,10,0,0
Belgium vs Russia,Euro 2020,3-0,Belgium,Russia,1.39,0.26,65.5,34.5,4,1,9,5,675,292,763,401,23,43,15,14,10,10,10,10,5,5,10,10,0,0
Wales vs Switzerland,Euro 2020,1-1,Wales,Switzerland,0.58,1.56,36.9,63.1,2,4,9,18,257,477,329,563,24,38,8,10,10,10,10,10,5,5,10,10,0,0
Brazil vs Colombia,Copa America 2024,1-1,Brazil,Colombia,0.31,1.5,49.9,50.1,3,7,7,13,360,368,446,448,36,31,11,7,10,10,10,10,5,5,10,10,6,6
Jamaica vs Venezuela,Copa America 2024,0-3,Jamaica,Venezuela,0.67,1.71,47.3,52.7,1,3,8,17,312,356,392,436,22,30,9,10,10,10,10,10,5,5,10,10,2,2
Uruguay vs Bolivia,Copa America 2024,5-0,Uruguay,Bolivia,2.32,0.05,60.1,39.9,10,1,18,4,447,283,531,353,45,45,6,13,10,10,10,10,5,5,10,10,5,5
Peru vs Chile,Copa America 2024,0-0,Peru,Chile,0.68,1.02,36.6,63.4,4,1,7,11,216,454,322,557,51,36,9,6,10,10,10,10,5,5,10,10,1,1
Ecuador vs Jamaica,Copa America 2024,3-1,Ecuador,Jamaica,2.37,0.93,45.5,54.5,3,4,23,7,240,282,315,377,37,35,7,7,10,10,10,10,5,5,10,10,3,3
Chile vs Argentina,Copa America 2024,0-1,Chile,Argentina,0.13,2.78,39.8,60.2,3,9,3,22,306,521,393,595,30,28,8,12,10,10,10,10,5,5,10,10,5,5
Colombia vs Paraguay,Copa America 2024,2-1,Colombia,Paraguay,0.62,0.83,65.8,34.2,3,3,11,11,461,183,561,291,45,32,8,10,10,10,10,10,5,5,10,10,9,9
United States vs Bolivia,Copa America 2024,2-0,United States,Bolivia,2.4,0.15,59.8,40.2,8,3,20,6,477,302,581,391,31,24,6,10,10,10,10,10,5,5,10,10,6,6
Argentina vs Peru,Copa America 2024,2-0,Argentina,Peru,2.11,0.17,72.7,27.3,7,2,12,7,594,176,667,250,35,28,6,9,10,10,10,10,5,5,10,10,1,1
Mexico vs Jamaica,Copa America 2024,1-0,Mexico,Jamaica,1.14,0.51,60.1,39.9,9,4,20,13,456,266,565,375,35,45,11,10,10,10,10,10,5,5,10,10,5,5
Venezuela vs Mexico,Copa America 2024,1-0,Venezuela,Mexico,1.14,2.38,40.4,59.6,3,5,10,18,260,423,359,530,39,42,11,7,10,10,10,10,5,5,10,10,4,4
Mexico vs Ecuador,Copa America 2024,0-0,Mexico,Ecuador,0.94,0.31,58.7,41.3,5,3,20,9,357,220,454,319,39,55,5,7,10,10,10,10,5,5,10,10,6,6
United States vs Uruguay,Copa America 2024,0-1,United States,Uruguay,0.47,1.27,51.6,48.4,2,5,8,12,272,253,376,352,29,32,3,11,10,10,10,10,5,5,10,10,3,3
Paraguay vs Brazil,Copa America 2024,1-4,Paraguay,Brazil,0.69,3.75,45.8,54.2,6,7,15,17,349,430,422,500,39,29,15,8,10,10,10,10,5,5,10,10,6,6
Ecuador vs Venezuela,Copa America 2024,1-2,Ecuador,Venezuela,0.74,1.59,35.1,64.9,4,5,9,14,202,454,298,550,47,32,10,7,10,10,10,10,5,5,10,10,4,4
Peru vs Canada,Copa America 2024,0-1,Peru,Canada,0.58,0.91,50.1,49.9,4,2,9,5,287,310,406,405,37,36,12,2,10,10,10,10,5,5,10,10,2,2
Brazil vs Costa Rica,Copa America 2024,0-0,Brazil,Costa Rica,1.62,0.04,74.1,25.9,4,0,20,2,660,191,748,262,32,28,9,8,10,10,10,10,5,5,10,10,4,4
Costa Rica vs Paraguay,Copa America 2024,2-1,Costa Rica,Paraguay,0.27,1.44,34.8,65.2,2,6,2,17,203,481,304,569,33,27,10,14,10,10,10,10,5,5,10,10,2,2
Colombia vs Panama,Copa America 2024,5-0,Colombia,Panama,2.18,0.61,52.7,47.3,5,3,7,14,334,299,412,370,30,28,4,9,10,10,10,10,5,5,10,10,4,4
Argentina vs Colombia,Copa America 2024,1-0,Argentina,Colombia,1.08,0.97,44.9,55.1,5,5,11,19,436,556,537,660,36,49,9,12,10,10,10,10,5,5,10,10,3,3
Canada vs Uruguay,Copa America 2024,2-2,Canada,Uruguay,6.21,4.65,51.0,49.0,10,9,19,16,272,273,379,364,33,24,14,9,10,10,10,10,5,5,10,10,4,4
Uruguay vs Colombia,Copa America 2024,0-1,Uruguay,Colombia,0.75,1.17,60.2,39.8,3,3,11,11,374,221,457,302,39,34,9,7,10,10,10,10,5,5,10,10,3,3
Argentina vs Canada,Copa America 2024,2-0,Argentina,Canada,1.75,0.72,51.5,48.5,3,2,11,9,432,411,506,477,19,18,6,11,10,10,10,10,5,5,10,10,4,4
Uruguay vs Brazil,Copa America 2024,0-0,Uruguay,Brazil,4.55,3.81,39.8,60.2,6,7,17,11,200,341,282,426,40,35,8,12,10,10,10,10,5,5,10,10,3,3
Uruguay vs Panama,Copa America 2024,3-1,Uruguay,Panama,1.36,0.54,54.3,45.7,7,3,20,10,360,286,448,377,26,36,10,7,10,10,10,10,5,5,10,10,3,3
Venezuela vs Canada,Copa America 2024,1-1,Venezuela,Canada,5.62,6.05,55.3,44.7,8,10,21,22,346,283,476,384,52,54,11,6,10,10,10,10,5,5,10,10,5,5
Argentina vs Ecuador,Copa America 2024,1-1,Argentina,Ecuador,4.78,4.52,50.6,49.4,7,7,13,13,323,314,401,392,35,26,8,7,10,10,10,10,5,5,10,10,2,2
Canada vs Chile,Copa America 2024,0-0,Canada,Chile,0.7,0.45,56.5,43.5,3,4,9,8,376,257,473,364,30,45,10,7,10,10,10,10,5,5,10,10,7,7
Colombia vs Costa Rica,Copa America 2024,3-0,Colombia,Costa Rica,2.9,0.17,62.8,37.2,5,0,18,5,495,257,566,335,27,41,5,2,10,10,10,10,5,5,10,10,8,8
Panama vs United States,Copa America 2024,2-1,Panama,United States,0.73,0.91,72.8,27.2,4,2,13,6,499,133,596,223,22,34,2,9,10,10,10,10,5,5,10,10,3,2
Bolivia vs Panama,Copa America 2024,1-3,Bolivia,Panama,0.79,1.34,51.2,48.8,3,6,7,13,393,366,478,455,33,30,9,12,10,10,10,10,5,5,10,10,3,3
Argentina vs Canada,Copa America 2024,2-0,Argentina,Canada,3.54,0.98,64.9,35.1,8,2,19,10,588,290,652,353,16,29,10,9,10,10,10,10,5,5,10,10,2,3
